Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md58432a647068b097f9637064b8985a5e0,19,1515,1129,598,98,367,0,19,57,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md599af1e58564000efce60f1127ec13d70,15,831,630,321,50,186,0,15,45,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5dcb6eccdc824e0677ffae8ccdde42930,2,105,80,41,7,23,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5f31efab71971fc6ca3025f90e0a0f3b1,1,48,37,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5f92e0daf340890c9667469657ee2ece8,4,357,266,143,27,87,0,4,12,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono,54,2911,2250,1121,177,606,0,55,175,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android,52,2675,2047,1028,163,578,0,50,155,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\app,2,20,13,7,0,6,0,1,8,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support,49,2635,2018,1009,163,568,0,49,147,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\design,6,321,246,123,20,69,0,6,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\design\widget,6,321,246,123,20,69,0,6,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\transition,1,85,62,31,3,22,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4,21,1119,858,429,66,240,0,21,63,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\app,2,98,76,38,6,20,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\content,2,98,76,38,6,20,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\media,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\media\session,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\os,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\view,11,584,448,224,36,125,0,11,33,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\view\accessibility,2,98,76,38,6,20,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\widget,4,241,182,91,12,55,0,4,12,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v7,21,1110,852,426,74,237,0,21,63,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v7\app,3,165,126,63,10,36,0,3,9,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v7\graphics,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v7\media,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v7\widget,16,847,650,325,58,181,0,16,48,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\designtime,1,9397,4873,4328,0,2312,0,2212,8842,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release,11,117235,25373,23732,0,41,0,91821,440902,61,322
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81,11,117235,25373,23732,0,41,0,91821,440902,61,322
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android,10,117230,25370,23730,0,40,0,91820,440900,60,320
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\com,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\com\companyname,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\com\companyname\smartbutler,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src,9,105507,22833,21357,0,36,0,82638,396810,54,288
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android,9,105507,22833,21357,0,36,0,82638,396810,54,288
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support,9,105507,22833,21357,0,36,0,82638,396810,54,288
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\compat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\design,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\mediacompat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\transition,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v4,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v7,4,46892,10148,9492,0,16,0,36728,176360,24,128
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v7\appcompat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v7\cardview,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v7\mediarouter,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Release\81\android\src\android\support\v7\recyclerview,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests,5,173,110,62,1,32,0,31,85,18,60
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\Services,1,91,62,42,0,18,0,11,13,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\obj,3,53,23,6,0,10,0,20,72,18,60
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\obj\Debug,2,29,14,4,0,5,0,10,36,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\obj\Debug\netcoreapp2.1,2,29,14,4,0,5,0,10,36,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\obj\Release,1,24,9,2,0,5,0,10,36,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Tests\obj\Release\netcoreapp2.1,1,24,9,2,0,5,0,10,36,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.UWP,14,1185,874,506,95,152,8,159,831,0,1
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.UWP\Properties,1,29,14,3,0,2,0,13,67,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.UWP\obj,7,872,680,391,89,114,8,78,262,0,1
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.UWP\obj\x86,7,872,680,391,89,114,8,78,262,0,1
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.UWP\obj\x86\Debug,7,872,680,391,89,114,8,78,262,0,1
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS,3,90,48,23,1,12,0,30,223,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\obj,0,0,0,0,0,0,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\obj\iPhone,0,0,0,0,0,0,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\obj\iPhoneSimulator,0,0,0,0,0,0,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\obj\iPhoneSimulator\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.iOS\obj\iPhone\Debug,0,0,0,0,0,0,0,0,0,0,0
