Word,Count
#FontFamily_fontProviderFetchTimeout,42
#AppCompatTheme_windowMinWidthMajor,42
#AppCompatTheme_buttonStyleSmall,42
<tr><td><code>useLogo</code></td><td>0x1</td><td></td></tr>,42
#NavigationView_elevation,42
<tr><td><code>always</code></td><td>2</td><td></td></tr>,42
#CoordinatorLayout_Layout_layout_anchorGravity,42
#SwitchCompat_trackTintMode,42
#PopupWindow_android_popupBackground,42
#AppCompatTextView_autoSizePresetSizes,42
#AppCompatTheme_controlBackground,42
#LinearLayoutCompat_divider,42
android:textColorHint,42
#CoordinatorLayout_Layout_layout_insetEdge,42
#ActionBar_backgroundStacked,42
#SwitchCompat_thumbTextPadding,42
#Toolbar_titleMarginBottom,42
#View_paddingEnd,42
<tr><td><code>scroll</code></td><td>0x1</td><td></td></tr>,42
#CardView_cardElevation,42
#TabLayout_tabGravity,42
#AppBarLayout_android_keyboardNavigationCluster,42
#AlertDialog_listItemLayout,42
#AppCompatTheme_switchStyle,42
#TabLayout_tabIndicatorHeight,42
#AppCompatTheme_alertDialogStyle,42
#MenuItem_android_icon,42
#AppCompatTheme_autoCompleteTextViewStyle,42
<tr><td><code>ifRoom</code></td><td>1</td><td></td></tr>,42
#AppCompatTheme_dialogPreferredPadding,42
#TabLayout_tabMinWidth,42
#TextInputLayout_passwordToggleDrawable,42
#TextInputLayout_counterOverflowTextAppearance,42
#BottomNavigationView_itemIconTint,42
#SwitchCompat_showText,42
#AppCompatTheme_selectableItemBackground,42
#SwitchCompat_track,42
#SearchView_submitBackground,42
#AppCompatTextHelper_android_drawableRight,42
#ButtonBarLayout_allowStacking,42
#AppCompatTheme_colorPrimaryDark,42
#ActionBar_subtitleTextStyle,42
#TextAppearance_android_textStyle,42
#ActionMode_backgroundSplit,42
#MediaRouteButton_android_minHeight,42
<tr><td><code>blocking</code></td><td>0</td><td></td></tr>,42
#Toolbar_subtitleTextColor,42
#AppCompatTheme_actionBarTheme,42
#SearchView_searchIcon,42
#AppCompatTheme_listDividerAlertDialog,42
#BottomNavigationView_elevation,42
#AppCompatTheme_colorControlNormal,42
#AlertDialog_showTitle,42
#SearchView_searchHintIcon,42
#AppCompatTheme_panelBackground,42
#AppCompatTheme_actionBarStyle,42
#SnackbarLayout_maxActionInlineWidth,42
#MenuGroup_android_orderInCategory,42
#TabLayout_tabIndicatorColor,42
#SearchView_goIcon,42
<tr><td><code>withText</code></td><td>4</td><td></td></tr>,42
#AppCompatTheme_homeAsUpIndicator,42
#RecyclerView_layoutManager,42
#CollapsingToolbarLayout_expandedTitleMarginEnd,42
#MenuGroup_android_enabled,42
#RecyclerView_fastScrollEnabled,42
android:gravity}</code></td><td></td></tr>,42
#TextAppearance_android_textColorLink,42
#CoordinatorLayout_Layout_layout_behavior,42
#CardView_contentPaddingTop,42
#AppCompatImageView_android_src,42
#FloatingActionButton_rippleColor,42
#AppCompatTheme_checkedTextViewStyle,42
#BottomSheetBehavior_Layout_behavior_hideable,42
#CollapsingToolbarLayout_expandedTitleGravity,42
#AppCompatTextHelper_android_drawableLeft,42
android.R.attr#thumb},42
#ActivityChooserView_expandActivityOverflowButtonDrawable,42
#AppCompatTheme_actionBarTabStyle,42
#CollapsingToolbarLayout_collapsedTitleTextAppearance,42
#NavigationView_android_maxWidth,42
#MenuItem_actionViewClass,42
#AppBarLayout_expanded,42
#CardView_cardBackgroundColor,42
#AppCompatTextHelper_android_drawableStart,42
android.R.attr#focusable},42
#CollapsingToolbarLayout_scrimVisibleHeightTrigger,42
#AppCompatTheme_toolbarStyle,42
#TabItem_android_icon,42
<tr><td><code>middle</code></td><td>2</td><td></td></tr>,42
#Spinner_android_prompt,42
android:windowAnimationStyle}</code></td><td></td></tr>,42
#NavigationView_itemBackground,42
#AppCompatTheme_windowFixedWidthMajor,42
#FontFamilyFont_fontStyle,42
#MenuItem_contentDescription,42
#TextInputLayout_counterMaxLength,42
#CollapsingToolbarLayout_expandedTitleMargin,42
#AppBarLayout_android_background,42
#RecyclerView_fastScrollVerticalTrackDrawable,42
#ActionBarLayout_android_layout_gravity,42
#SwitchCompat_android_textOn,42
#FloatingActionButton_pressedTranslationZ,42
#AppCompatTheme_windowActionBarOverlay,42
#AppCompatTheme_windowFixedHeightMajor,42
#Toolbar_collapseIcon,42
#View_android_theme,42
#TextInputLayout_hintTextAppearance,42
#SearchView_queryHint,42
#AppCompatTextView_fontFamily,42
#SwitchCompat_thumbTintMode,42
#AppCompatTheme_panelMenuListWidth,42
#NavigationView_menu,42
#NavigationView_headerLayout,42
<tr><td><code>fill_horizontal</code></td><td>0x07</td><td></td></tr>,42
#FloatingActionButton_elevation,42
#AppCompatTheme_colorControlActivated,42
#ActionBar_icon,42
#ActionBar_homeLayout,42
#AppCompatImageView_tintMode,42
#RecyclerView_fastScrollVerticalThumbDrawable,42
#TextInputLayout_counterTextAppearance,42
#AppBarLayoutStates},42
#DesignTheme_bottomSheetStyle,42
#DrawerArrowToggle_arrowShaftLength,42
#AppCompatImageView_srcCompat,42
#AppCompatTextView_autoSizeStepGranularity,42
#ActionBar_contentInsetLeft,42
#AppCompatTheme_alertDialogCenterButtons,42
#SwitchCompat_trackTint,42
#AlertDialog_android_layout,42
#ActionBar_titleTextStyle,42
#ActionMode_closeItemLayout,42
#ViewBackgroundHelper_backgroundTintMode,42
#AppCompatTheme_dividerHorizontal,42
#AppCompatTextHelper_android_drawableBottom,42
#RecycleListView_paddingTopNoTitle,42
#AppCompatTheme_windowMinWidthMinor,42
#AppCompatTheme_checkboxStyle,42
#CardView_contentPaddingLeft,42
<tr><td><code>fixed</code></td><td>1</td><td></td></tr>,42
#SearchView_queryBackground,42
#AppCompatTheme_spinnerStyle,42
#AppCompatTheme_tooltipForegroundColor,42
#ForegroundLinearLayout_android_foregroundGravity,42
#AppCompatTheme_android_windowAnimationStyle,42
#ViewStubCompat_android_id,42
#FloatingActionButton_fabSize,42
#PopupWindowBackgroundState_state_above_anchor,42
#AppCompatTheme_listChoiceBackgroundIndicator,42
#SearchView_android_focusable,42
#AppCompatTheme_windowActionBar,42
#AppCompatTheme_actionModeFindDrawable,42
android:thumb,42
#ActionBar_logo,42
#RecyclerView_fastScrollHorizontalThumbDrawable,42
#FontFamily_fontProviderQuery,42
#AppCompatTheme_actionBarSplitStyle,42
#TabLayout_tabPaddingStart,42
android:visible,42
#ActionMode_titleTextStyle,42
#TextInputLayout_passwordToggleTint,42
#TextInputLayout_passwordToggleEnabled,42
#Toolbar_titleMargins,42
#SearchView_layout,42
#AppCompatTheme_actionMenuTextAppearance,42
#SwitchCompat_switchPadding,42
#ActionBar_title,42
#AppCompatTheme_colorError,42
#AppCompatTheme_activityChooserViewStyle,42
#LinearLayoutCompat_Layout_android_layout_weight,42
#CollapsingToolbarLayout_title,42
#MenuGroup_android_visible,42
#AppCompatTheme_colorControlHighlight,42
<tr><td><code>clip_vertical</code></td><td>0x80</td><td></td></tr>,42
