File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0\Views\BottlesPage.xaml.g.cs,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0\Views\DrinksPage.xaml.g.cs,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0\Views\MakeDrinkPage.xaml.g.cs,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0\Views\WelcomePage.xaml.g.cs,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\DisposableService.cs,20,16,8,1,4,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\ExceptionFactory.cs,49,30,16,2,6,0,13,58,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\BaseRepository.cs,20,17,11,1,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\BottlesRepository.cs,27,22,14,1,5,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\LiquidContainerFactory.cs,46,27,17,1,7,0,12,67,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\NavigationService.cs,69,48,28,5,21,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\PageRegistrar.cs,171,94,55,12,43,0,34,197,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\ResourceManager.cs,30,24,11,1,6,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable\UserInteraction.cs,32,26,14,3,6,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\BaseViewModel.cs,60,46,31,1,14,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\BluetoothPageViewModel.cs,77,59,41,3,16,0,2,14,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\BottlesPageViewModel.cs,59,46,35,1,13,1,0,4,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\DrinksPageViewModel.cs,54,42,30,1,12,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\MakeDrinkPageViewModel.cs,23,18,10,0,5,0,0,0,0,0
